iter	Passed	Remaining
0	1	163
1	3	177
2	6	199
3	8	213
4	11	216
5	13	206
6	17	233
7	22	260
8	24	247
9	25	233
10	28	234
11	31	227
12	32	219
13	34	211
14	36	209
15	39	208
16	41	203
17	43	199
18	45	191
19	46	184
20	47	177
21	48	172
22	51	172
23	53	168
24	55	166
25	56	160
26	57	156
27	59	151
28	60	147
29	63	147
30	66	147
31	68	145
32	69	141
33	70	137
34	71	133
35	73	130
36	76	129
37	77	127
38	79	123
39	81	121
40	82	118
41	82	114
42	83	110
43	85	108
44	87	106
45	89	105
46	91	102
47	92	99
48	93	96
49	94	94
50	95	91
51	98	91
52	100	88
53	102	87
54	103	84
55	104	82
56	105	79
57	106	77
58	107	75
59	110	73
60	112	71
61	114	70
62	115	67
63	116	65
64	117	63
65	118	61
66	120	59
67	122	57
68	124	55
69	125	53
70	126	51
71	127	49
72	128	47
73	129	45
74	130	43
75	131	41
76	133	39
77	135	38
78	138	36
79	139	34
80	140	32
81	141	31
82	142	29
83	143	27
84	144	25
85	147	23
86	148	22
87	150	20
88	152	18
89	153	17
90	154	15
91	155	13
92	156	11
93	158	10
94	160	8
95	162	6
96	164	5
97	165	3
98	166	1
99	167	0
