iter	Passed	Remaining
0	188	187986
1	190	95076
2	191	63702
3	192	47983
4	193	38572
5	194	32290
6	196	27808
7	197	24446
8	198	21835
9	199	19729
10	200	18010
11	201	16569
12	202	15364
13	203	14363
14	205	13479
15	206	12691
16	207	11998
17	208	11370
18	209	10816
19	210	10313
20	211	9861
21	212	9444
22	213	9067
23	214	8719
24	215	8398
25	216	8106
26	217	7832
27	218	7598
28	220	7377
29	221	7153
30	222	6945
31	223	6749
32	224	6567
33	225	6396
34	226	6234
35	227	6081
36	227	5933
37	228	5796
38	229	5666
39	230	5540
40	231	5424
41	233	5316
42	234	5219
43	235	5115
44	236	5018
45	237	4924
46	238	4834
47	239	4749
48	240	4667
49	241	4590
50	242	4513
51	243	4440
52	244	4370
53	245	4302
54	246	4235
55	247	4171
56	248	4113
57	249	4056
58	250	3999
59	251	3945
60	252	3891
61	253	3840
62	256	3813
63	257	3764
64	258	3717
65	259	3670
66	260	3625
67	261	3581
68	262	3537
69	263	3499
70	265	3468
71	265	3428
72	266	3389
73	267	3353
74	268	3316
75	269	3281
76	270	3247
77	271	3213
78	272	3180
79	273	3149
80	274	3117
81	275	3087
82	276	3053
83	277	3026
84	278	3003
85	280	2977
86	281	2949
87	281	2921
88	282	2896
89	284	2871
90	284	2846
91	286	2823
92	286	2798
93	287	2775
94	288	2751
95	289	2728
96	290	2705
97	291	2683
98	292	2665
99	294	2648
100	295	2627
101	296	2608
102	297	2589
103	298	2570
104	299	2551
105	300	2533
106	301	2516
107	302	2498
108	303	2480
109	304	2462
110	305	2444
111	306	2427
112	307	2413
113	308	2401
114	309	2385
115	310	2368
116	311	2351
117	312	2336
118	313	2321
119	314	2305
120	315	2290
121	316	2275
122	317	2260
123	318	2247
124	319	2233
125	320	2220
126	320	2206
127	322	2195
128	324	2188
129	325	2176
130	326	2163
131	327	2152
132	328	2141
133	329	2129
134	330	2118
135	331	2107
136	332	2096
137	334	2087
138	335	2076
139	336	2067
140	337	2058
141	338	2046
142	339	2036
143	340	2026
144	342	2016
145	343	2006
146	344	1996
147	344	1985
148	346	1976
149	347	1967
150	348	1958
151	349	1948
152	350	1938
153	351	1929
154	352	1922
155	354	1917
156	355	1910
157	357	1904
158	359	1900
159	360	1895
160	361	1885
161	362	1876
162	363	1868
163	364	1860
164	366	1852
165	367	1847
166	370	1846
167	371	1839
168	372	1832
169	374	1826
170	375	1818
171	376	1810
172	377	1803
173	378	1795
174	379	1787
175	380	1779
176	381	1774
177	383	1773
178	384	1765
179	385	1757
180	386	1749
181	387	1742
182	388	1735
183	389	1728
184	390	1721
185	391	1714
186	392	1707
187	394	1701
188	411	1765
189	412	1758
190	413	1753
191	415	1748
192	416	1742
193	418	1736
194	419	1729
195	419	1722
196	420	1715
197	421	1708
198	422	1702
199	424	1696
200	425	1690
201	426	1684
202	427	1678
203	429	1675
204	430	1668
205	431	1662
206	432	1655
207	433	1649
